Timestamp,Birthday,Time of Birth (not required),MBTI Type
4/13/2020 8:35:13,5/28/2000,6:00:00 PM,INTJ
4/13/2020 8:43:51,5/5/2000,2:15:00 AM,INFP
4/13/2020 8:44:43,2/1/2000,1:05:00 AM,INFP
4/13/2020 8:47:02,2/25/2000,11:00:00 PM,INFJ
4/13/2020 8:52:49,11/4/2000,4:00:00 AM,ENFP
4/13/2020 8:53:05,6/28/2000,,INTJ
4/13/2020 8:53:22,4/29/2000,11:45:00 AM,INTJ
4/13/2020 8:56:19,12/15/2000,,ISFJ
4/13/2020 8:57:40,8/17/2000,,INTP
4/13/2020 8:58:51,1/9/2000,10:38:00 AM,INTJ
4/13/2020 8:58:52,11/2/2000,2:00:00 PM,ISFJ
4/13/2020 9:06:43,9/1/2000,,INTP
4/13/2020 9:06:53,4/4/2000,5:45:00 PM,INFP
4/13/2020 9:14:56,2/14/2000,8:30:00 PM,INFP
4/13/2020 9:28:48,2/13/2000,6:30:00 PM,ENFP
4/13/2020 9:42:19,1/11/2000,8:21:00 PM,INFP
4/13/2020 9:43:18,1/31/2000,11:45:00 PM,INTP
4/13/2020 9:46:20,10/17/2000,8:30:00 AM,INTP
4/13/2020 9:54:21,9/29/2000,12:32:00 PM,INTP
4/13/2020 9:55:41,9/3/2000,,INFP
4/13/2020 9:57:30,9/1/2000,,INFP
4/13/2020 10:08:58,5/31/2000,5:30:00 PM,INTP
4/13/2020 10:09:56,8/17/2000,3:00:00 AM,INTP
4/13/2020 10:10:26,5/8/2002,11:30:00 PM,INTP
4/13/2020 10:12:15,5/31/2000,5:30:00 PM,ISTP
4/13/2020 10:18:05,8/2/2000,,ENFP
4/13/2020 10:37:52,7/13/2002,,INTJ
4/13/2020 10:43:34,11/29/1993,10:05:00 AM,ENTJ
4/13/2020 10:45:00,2/10/2000,,INTJ
4/13/2020 10:54:34,4/18/2000,8:00:00 PM,INFP
4/13/2020 10:59:12,2/23/1994,7:10:00 AM,INFP
4/13/2020 11:05:37,2/26/2003,9:35:00 PM,INFP
4/13/2020 11:16:43,8/12/1993,,ENTJ
4/13/2020 11:20:01,9/7/1996,12:22:00 PM,INFJ
4/13/2020 11:21:00,2/18/1991,9:00:00 AM,ENTP
4/13/2020 11:23:49,12/25/2000,4:50:00 AM,INFJ
4/13/2020 11:30:44,11/29/1999,2:00:00 AM,INTP
4/13/2020 11:36:55,4/15/2002,,INTP
4/13/2020 11:44:13,5/6/2000,9:10:00 PM,ENTP
4/13/2020 11:55:56,12/19/2000,12:05:00 PM,ENFP
4/13/2020 11:59:07,5/29/1995,8:30:00 PM,INTJ
4/13/2020 11:59:35,6/8/1998,,INTJ
4/13/2020 12:13:37,6/19/1995,5:06:00 PM,INFJ
4/13/2020 12:14:11,9/9/2004,,INTP
4/13/2020 12:38:20,4/4/1988,,INFJ
4/13/2020 12:43:47,8/8/1992,,ENFJ
4/13/2020 12:52:40,4/1/1993,12:34:00 AM,INFP
4/13/2020 13:10:23,4/3/2000,,ENTJ
4/13/2020 13:18:06,1/14/2000,2:51:00 PM,ENTP
4/13/2020 13:30:03,4/24/2002,7:30:00 PM,INFJ
4/13/2020 13:38:50,9/27/2002,10:00:00 PM,ENFP
4/13/2020 13:46:36,1/4/2000,11:00:00 AM,ENTP
4/13/2020 13:46:58,3/9/1998,,ENFP
4/13/2020 14:03:18,12/4/1994,11:45:00 AM,INTJ
4/13/2020 14:37:18,4/7/1982,4:13:00 PM,INTJ
4/13/2020 14:41:10,3/29/2002,,ISFP
4/13/2020 15:16:54,5/15/1997,12:39:00 AM,INFP
4/13/2020 15:42:54,3/20/2001,,INTP
4/13/2020 15:48:04,2/20/2004,,INTJ
4/13/2020 16:01:18,5/15/2000,,ISTP
4/13/2020 16:24:25,3/3/1999,4:00:00 PM,INTP
4/13/2020 17:04:36,11/29/2005,7:55:00 PM,ENTP
4/13/2020 17:12:06,6/1/1998,,INTJ
4/13/2020 17:24:25,1/24/1994,3:27:00 AM,INTJ
4/13/2020 17:29:14,2/6/2002,,INFJ
4/13/2020 17:45:36,2/15/2000,,ENTP
4/13/2020 17:53:22,2/13/1980,9:00:00 AM,ESFJ
4/13/2020 19:07:24,8/6/2000,,INTP
4/13/2020 19:11:11,5/18/2000,7:35:00 AM,INFP
4/13/2020 20:18:17,4/4/2002,1:46:00 PM,INTJ
4/13/2020 20:40:45,5/14/1982,,INFP
4/13/2020 21:35:10,6/20/2004,11:04:00 PM,ENFJ
4/13/2020 22:01:23,3/23/2005,10:15:00 AM,INTJ
4/13/2020 22:47:07,9/9/2001,,ESTJ
4/13/2020 23:18:13,7/23/2003,7:26:00 AM,ISFJ
4/14/2020 0:51:15,8/29/2000,,INFP
4/14/2020 1:59:54,10/24/1996,,INTJ
4/14/2020 2:14:54,1/5/1994,,INTJ
4/14/2020 3:53:31,4/19/1999,12:00:00 AM,INTP
4/14/2020 5:37:14,12/12/2003,3:15:00 PM,INTJ
4/14/2020 6:46:24,4/16/2006,,ESFP
4/14/2020 11:19:53,8/3/1998,2:00:00 PM,ENTP
4/14/2020 12:19:26,12/30/2002,10:52:00 PM,INFJ
4/14/2020 12:20:53,6/21/2002,1:00:00 AM,INTP
4/14/2020 16:11:18,2/24/1991,1:03:00 AM,ENFP
4/14/2020 17:56:24,2/3/1995,5:00:00 PM,INFP
4/15/2020 4:26:47,10/5/2020,11:25:00 AM,INFP
4/15/2020 7:38:58,7/1/1983,3:15:00 PM,INTP
4/15/2020 8:07:00,8/9/2000,9:00:00 AM,ISTP
4/15/2020 8:35:04,8/3/2006,7:30:00 PM,INTP
4/15/2020 16:06:53,1/27/2002,9:27:00 AM,INFP
4/15/2020 21:24:45,8/8/1992,12:00:00 AM,ISTP
4/16/2020 1:18:05,9/21/1992,,ENFJ
4/16/2020 3:45:22,2/21/1993,1:25:00 AM,INFP
4/16/2020 3:45:30,2/21/1993,1:25:00 AM,INFP
4/16/2020 17:02:07,1/1/2007,4:00:00 AM,ENTP
4/16/2020 17:05:03,1/1/2001,3:00:00 AM,ENTP
4/17/2020 20:05:38,10/3/2006,,INTP
